"Kod";"Nazwa";"1 kwartał;rynek pierwotny;do 40 m2;2017;[zł]";"1 kwartał;rynek pierwotny;do 40 m2;2018;[zł]";"1 kwartał;rynek pierwotny;do 40 m2;2019;[zł]";"1 kwartał;rynek pierwotny;do 40 m2;2020;[zł]";"1 kwartał;rynek pierwotny;do 40 m2;2021;[zł]";"1 kwartał;rynek pierwotny;od 40,1 do 60 m2;2017;[zł]";"1 kwartał;rynek pierwotny;od 40,1 do 60 m2;2018;[zł]";"1 kwartał;rynek pierwotny;od 40,1 do 60 m2;2019;[zł]";"1 kwartał;rynek pierwotny;od 40,1 do 60 m2;2020;[zł]";"1 kwartał;rynek pierwotny;od 40,1 do 60 m2;2021;[zł]";"1 kwartał;rynek pierwotny;od 60,1 do 80 m2;2017;[zł]";"1 kwartał;rynek pierwotny;od 60,1 do 80 m2;2018;[zł]";"1 kwartał;rynek pierwotny;od 60,1 do 80 m2;2019;[zł]";"1 kwartał;rynek pierwotny;od 60,1 do 80 m2;2020;[zł]";"1 kwartał;rynek pierwotny;od 60,1 do 80 m2;2021;[zł]";"1 kwartał;rynek pierwotny;od 80,1 m2;2017;[zł]";"1 kwartał;rynek pierwotny;od 80,1 m2;2018;[zł]";"1 kwartał;rynek pierwotny;od 80,1 m2;2019;[zł]";"1 kwartał;rynek pierwotny;od 80,1 m2;2020;[zł]";"1 kwartał;rynek pierwotny;od 80,1 m2;2021;[zł]";"2 kwartał;rynek pierwotny;do 40 m2;2017;[zł]";"2 kwartał;rynek pierwotny;do 40 m2;2018;[zł]";"2 kwartał;rynek pierwotny;do 40 m2;2019;[zł]";"2 kwartał;rynek pierwotny;do 40 m2;2020;[zł]";"2 kwartał;rynek pierwotny;do 40 m2;2021;[zł]";"2 kwartał;rynek pierwotny;od 40,1 do 60 m2;2017;[zł]";"2 kwartał;rynek pierwotny;od 40,1 do 60 m2;2018;[zł]";"2 kwartał;rynek pierwotny;od 40,1 do 60 m2;2019;[zł]";"2 kwartał;rynek pierwotny;od 40,1 do 60 m2;2020;[zł]";"2 kwartał;rynek pierwotny;od 40,1 do 60 m2;2021;[zł]";"2 kwartał;rynek pierwotny;od 60,1 do 80 m2;2017;[zł]";"2 kwartał;rynek pierwotny;od 60,1 do 80 m2;2018;[zł]";"2 kwartał;rynek pierwotny;od 60,1 do 80 m2;2019;[zł]";"2 kwartał;rynek pierwotny;od 60,1 do 80 m2;2020;[zł]";"2 kwartał;rynek pierwotny;od 60,1 do 80 m2;2021;[zł]";"2 kwartał;rynek pierwotny;od 80,1 m2;2017;[zł]";"2 kwartał;rynek pierwotny;od 80,1 m2;2018;[zł]";"2 kwartał;rynek pierwotny;od 80,1 m2;2019;[zł]";"2 kwartał;rynek pierwotny;od 80,1 m2;2020;[zł]";"2 kwartał;rynek pierwotny;od 80,1 m2;2021;[zł]";"3 kwartał;rynek pierwotny;do 40 m2;2017;[zł]";"3 kwartał;rynek pierwotny;do 40 m2;2018;[zł]";"3 kwartał;rynek pierwotny;do 40 m2;2019;[zł]";"3 kwartał;rynek pierwotny;do 40 m2;2020;[zł]";"3 kwartał;rynek pierwotny;do 40 m2;2021;[zł]";"3 kwartał;rynek pierwotny;od 40,1 do 60 m2;2017;[zł]";"3 kwartał;rynek pierwotny;od 40,1 do 60 m2;2018;[zł]";"3 kwartał;rynek pierwotny;od 40,1 do 60 m2;2019;[zł]";"3 kwartał;rynek pierwotny;od 40,1 do 60 m2;2020;[zł]";"3 kwartał;rynek pierwotny;od 40,1 do 60 m2;2021;[zł]";"3 kwartał;rynek pierwotny;od 60,1 do 80 m2;2017;[zł]";"3 kwartał;rynek pierwotny;od 60,1 do 80 m2;2018;[zł]";"3 kwartał;rynek pierwotny;od 60,1 do 80 m2;2019;[zł]";"3 kwartał;rynek pierwotny;od 60,1 do 80 m2;2020;[zł]";"3 kwartał;rynek pierwotny;od 60,1 do 80 m2;2021;[zł]";"3 kwartał;rynek pierwotny;od 80,1 m2;2017;[zł]";"3 kwartał;rynek pierwotny;od 80,1 m2;2018;[zł]";"3 kwartał;rynek pierwotny;od 80,1 m2;2019;[zł]";"3 kwartał;rynek pierwotny;od 80,1 m2;2020;[zł]";"3 kwartał;rynek pierwotny;od 80,1 m2;2021;[zł]";"4 kwartał;rynek pierwotny;do 40 m2;2017;[zł]";"4 kwartał;rynek pierwotny;do 40 m2;2018;[zł]";"4 kwartał;rynek pierwotny;do 40 m2;2019;[zł]";"4 kwartał;rynek pierwotny;do 40 m2;2020;[zł]";"4 kwartał;rynek pierwotny;do 40 m2;2021;[zł]";"4 kwartał;rynek pierwotny;od 40,1 do 60 m2;2017;[zł]";"4 kwartał;rynek pierwotny;od 40,1 do 60 m2;2018;[zł]";"4 kwartał;rynek pierwotny;od 40,1 do 60 m2;2019;[zł]";"4 kwartał;rynek pierwotny;od 40,1 do 60 m2;2020;[zł]";"4 kwartał;rynek pierwotny;od 40,1 do 60 m2;2021;[zł]";"4 kwartał;rynek pierwotny;od 60,1 do 80 m2;2017;[zł]";"4 kwartał;rynek pierwotny;od 60,1 do 80 m2;2018;[zł]";"4 kwartał;rynek pierwotny;od 60,1 do 80 m2;2019;[zł]";"4 kwartał;rynek pierwotny;od 60,1 do 80 m2;2020;[zł]";"4 kwartał;rynek pierwotny;od 60,1 do 80 m2;2021;[zł]";"4 kwartał;rynek pierwotny;od 80,1 m2;2017;[zł]";"4 kwartał;rynek pierwotny;od 80,1 m2;2018;[zł]";"4 kwartał;rynek pierwotny;od 80,1 m2;2019;[zł]";"4 kwartał;rynek pierwotny;od 80,1 m2;2020;[zł]";"4 kwartał;rynek pierwotny;od 80,1 m2;2021;[zł]";
0200000;"DOLNOŚLĄSKIE";5572;6233;6363;7414;7219;5358;5548;5793;6584;6865;5026;5309;5482;6184;6613;5065;4991;4852;5338;5973;6333;5986;6552;6680;8306;5776;5438;6077;6048;7304;5869;5113;5810;5630;6794;5185;4999;5342;4605;6314;6291;6758;6588;5980;8776;5505;5959;6236;5362;7660;5483;5184;5665;4851;6997;5234;5300;5140;4473;6332;6269;6709;6463;5902;8863;5399;5773;5515;5329;7803;5338;5575;5108;4947;7207;5072;5658;4608;4469;5933;
0400000;"KUJAWSKO-POMORSKIE";4553;4515;4953;5299;5426;4425;4487;4584;4992;5286;4456;4521;4729;5022;5575;5014;5217;5155;5147;6007;4639;4493;5361;4847;6309;4503;4570;4518;4951;5875;4404;4493;4293;5099;5859;4460;4565;4736;4506;6111;4277;4324;5219;5762;6243;4028;4291;4757;5281;5730;4382;4409;4713;4888;5782;4393;4861;4511;4655;6170;4344;5017;5222;5886;6087;4226;4476;4869;5682;5519;4413;4897;5267;5934;5473;4822;4804;5268;6485;5409;
0600000;"LUBELSKIE";4794;5098;5186;5571;6470;5131;5022;4963;5273;5967;4781;4974;4929;5073;5842;5211;5286;5094;4731;6937;5000;5063;5870;6060;6641;4940;4957;5509;5504;6162;4852;5011;5429;5308;5812;4953;5234;5571;4996;5868;4589;5858;5245;6490;6505;5240;5241;5449;5585;6221;4626;5238;5251;5293;6116;4825;4823;5744;4484;5103;5170;5280;5542;7126;6566;5048;5078;5255;6272;6293;4830;5173;5032;5727;6068;5776;4751;4700;6224;5648;
0800000;"LUBUSKIE";3724;3765;3966;4107;4388;3633;3888;4039;4244;4513;3746;3907;3961;4316;4440;3506;3637;3403;3632;3719;3424;3836;3970;4126;4727;3458;3707;3868;4070;4788;3550;3828;3934;4275;4689;3264;3522;3716;3743;4311;3473;3911;3914;4950;4431;3450;3754;4065;4462;4539;3417;3730;4172;4462;4616;2984;3358;3591;4171;3967;3641;3855;3930;5022;5215;3491;3917;4176;4780;4994;3732;4021;3996;4808;4873;3037;3620;3709;4598;3597;
1000000;"ŁÓDZKIE";4356;4646;5014;5120;6328;4469;4548;4788;5366;6064;4583;4831;5090;5479;5894;4175;4799;5047;5192;5901;4614;4679;5325;5998;6567;4747;4872;5072;5586;6391;4477;4866;4979;5630;6072;4185;4617;4854;5514;6155;4608;4918;5726;6102;6230;4725;4945;5604;5646;6053;4719;4895;5029;5374;6194;4994;4852;5083;5583;5906;4450;4974;5588;5683;6240;4351;4776;5474;5766;5874;4583;5231;5485;5738;6095;4850;5158;4846;5681;6421;
1200000;"MAŁOPOLSKIE";6764;7068;6769;8337;8911;6315;6325;6304;7725;7673;6214;5986;6622;7169;7473;6643;7060;6897;6385;7394;6334;6570;7384;8620;9535;6133;6262;6550;7519;8208;5933;5778;6643;7107;7851;6664;6835;6329;6757;7286;6097;6939;7684;7918;9013;6164;6315;6457;7438;8207;6406;5941;6497;6811;7974;7408;5911;6538;6869;7532;7306;7463;7103;8175;9373;5513;6598;6836;7558;8660;5360;6357;7104;7279;7998;6391;6682;6882;7118;8565;
1400000;"MAZOWIECKIE";6978;6904;6549;7516;8844;7000;6479;6381;7079;7894;6678;6589;6320;7057;7859;6732;7372;6916;6570;7826;6868;7003;7062;7916;9299;6650;6578;6498;7178;8159;6524;6516;6599;7264;7834;7015;7771;5920;6753;8570;7013;7406;7455;8218;9525;6715;6545;6916;7434;8591;7105;6802;6827;7719;7916;9224;7764;6568;7509;7451;6393;6992;7423;7948;6585;5772;6140;6956;7467;6229;5708;6378;6714;7295;6203;5618;7539;6675;6679;5937;
1600000;"OPOLSKIE";3984;4604;4620;5193;5437;4324;4461;4490;5181;5413;4282;4618;4373;5109;5326;3173;4380;3808;4026;4889;3780;4039;4515;5135;4603;3975;4293;4971;4902;4828;3895;4425;4703;5009;4869;3218;3560;4274;4499;4870;4089;4494;4637;4921;5690;4069;3697;4669;4835;5745;3757;4414;4454;4720;4990;3994;3401;4195;4550;4668;4167;4658;5200;6058;6159;4636;4184;5524;6065;5650;4577;4313;4984;5614;5349;0;4066;4519;4557;5054;
1800000;"PODKARPACKIE";4838;4787;5074;5216;6835;4449;4331;4745;4909;6064;4202;4120;4604;4736;5767;4072;4439;4519;3665;5046;4363;5111;5052;5776;6991;4219;4683;4906;5080;6460;4185;4491;4584;4925;6062;4033;4651;4543;3814;6278;4414;5085;5224;6198;6650;4161;4634;4868;5555;5922;4368;4345;4663;5079;5812;4147;4190;4418;4514;5186;4354;4914;5796;6070;6222;4091;4556;5204;5417;5529;3958;4352;4961;5226;5509;4049;4364;4321;3889;4583;
2000000;"PODLASKIE";4285;4345;4753;5128;5767;4330;4284;4620;5035;5464;4331;4228;4553;4797;5209;4128;4367;4552;4944;5180;4291;4388;4899;5109;5857;4434;4313;4754;4938;5585;4509;4150;4803;4845;5387;4405;4376;4668;5272;5593;4574;4649;5389;5803;6116;4568;4395;5024;5407;5786;4530;3992;4722;4916;5444;4203;3347;4541;4602;5103;4540;5071;5431;5795;6212;4523;4785;5031;5431;5946;4615;4797;4885;5178;5763;5137;4917;4686;4686;5036;
2200000;"POMORSKIE";5438;5912;6207;6952;7277;5331;6107;6228;6984;7597;5008;5777;5746;7028;6887;6228;6996;4930;6296;7885;6061;6137;6583;6944;7847;6098;6080;6435;6823;7145;6193;5978;5994;6677;6980;7167;5816;5792;6412;6489;6303;5675;6670;7589;7481;6845;5584;6809;6702;7539;6193;5589;6769;6651;7676;6959;5481;5789;5855;6843;6950;6403;7535;7697;8895;6291;6503;7082;7230;8503;6054;6060;6874;7265;8632;6129;5702;6125;7645;7887;
2400000;"ŚLĄSKIE";3947;3728;4222;4537;4964;4108;4100;4668;4689;5408;4017;3952;4684;4930;5346;3793;4165;4263;4543;4729;4029;3861;4385;4684;5284;4307;4215;4587;4855;5553;4153;4271;4717;4865;5392;3684;4219;4619;4612;5096;4034;3701;4073;5149;5658;4131;4181;4494;5059;5469;4141;4294;4556;5022;5447;4074;4243;4332;4534;4799;4417;4145;4046;4914;5726;4330;4513;4693;5227;5625;4421;4466;4886;5184;5481;3976;3971;4585;4568;5490;
2600000;"ŚWIĘTOKRZYSKIE";4561;4533;4847;5409;5331;4667;4640;4716;5303;5593;4786;4516;4657;5210;5783;3655;4393;4618;5283;5757;4761;4736;4875;5656;6065;4782;4819;5091;5549;5862;4865;4871;5012;5434;5992;4418;4711;4977;5264;5610;4973;4561;5114;5440;6012;4777;4840;5106;5269;5607;4826;4990;5009;5120;6038;3991;5403;4861;5434;6301;4510;4495;5417;5737;5968;4560;4549;5151;5769;5887;4352;4581;5051;5623;5480;4822;4463;4782;5595;5512;
2800000;"WARMIŃSKO-MAZURSKIE";4298;3865;4287;4648;5287;4121;4009;4383;5040;5316;4231;3972;4289;4842;5470;4795;4336;4530;4307;4966;3765;4249;4388;5267;5546;3954;4060;4307;4631;5616;3943;4085;3927;4626;5985;3828;4137;4675;5261;5438;3873;4337;4450;5100;5715;4232;4212;4565;5191;5396;4452;4225;4561;5013;5758;4286;4165;4233;5422;5025;4310;4015;4313;5250;5590;4226;4402;4650;5152;5502;4643;4550;4691;5271;5863;4442;4644;4278;4974;6104;
3000000;"WIELKOPOLSKIE";5080;5500;5925;5857;6588;4868;5091;5072;5369;6312;4593;4653;4665;4817;5966;4695;4683;4237;4557;5093;5372;5667;5337;5731;6547;5016;5137;5095;5575;6231;4749;4788;4528;5076;5858;5124;4544;4193;4620;5166;5864;5672;5511;5799;7055;5299;5093;4890;4963;6649;4882;4869;4374;4752;6206;4658;4408;4179;4432;4982;5626;5467;4891;5017;6717;5349;5276;4754;5023;6088;4749;4867;4453;4740;5567;4670;4641;4132;4475;4720;
3200000;"ZACHODNIOPOMORSKIE";4787;5578;6347;8240;9181;4897;5263;5527;6976;7042;4909;5287;5133;5993;6542;4195;5476;4618;5308;6102;4650;6274;7126;9224;9069;4577;6072;6050;6906;6455;4756;5363;5237;5347;5924;4252;6765;5136;5392;5938;5200;6907;5680;7698;8797;5588;6182;6234;7345;6790;5348;5402;5108;4936;7488;5311;5878;4448;5017;4834;5205;6638;7884;8204;9074;5200;6073;6745;6366;7262;5052;5217;5298;5596;6836;4694;5716;5104;5703;6059;
